chromosome,start,end,name,strand,type,gene
chr1,11869,14409,ENSG00000223972.5,+,transcribed_unprocessed_pseudogene,DDX11L1
chr1,14404,29570,ENSG00000227232.5,-,unprocessed_pseudogene,WASH7P
chr1,17369,17436,ENSG00000278267.1,-,miRNA,MIR6859-1
chr1,29554,31109,ENSG00000243485.3,+,lincRNA,RP11-34P13.3
chr1,30366,30503,ENSG00000274890.1,+,miRNA,MIR1302-2
chr1,34554,36081,ENSG00000237613.2,-,lincRNA,FAM138A
chr1,52473,53312,ENSG00000268020.3,+,unprocessed_pseudogene,OR4G4P
chr1,62948,63887,ENSG00000240361.1,+,unprocessed_pseudogene,OR4G11P
chr1,69091,70008,ENSG00000186092.4,+,protein_coding,OR4F5
chr1,89295,133723,ENSG00000238009.6,-,lincRNA,RP11-34P13.7
chr1,89551,91105,ENSG00000239945.1,-,lincRNA,RP11-34P13.8
chr1,131025,134836,ENSG00000233750.3,+,processed_pseudogene,CICP27
chr1,135141,135895,ENSG00000268903.1,-,processed_pseudogene,RP11-34P13.15
chr1,137682,137965,ENSG00000269981.1,-,processed_pseudogene,RP11-34P13.16
chr1,139790,140339,ENSG00000239906.1,-,antisense,RP11-34P13.14
chr1,141474,173862,ENSG00000241860.6,-,processed_transcript,RP11-34P13.13
chr1,157784,157887,ENSG00000222623.1,-,snRNA,RNU6-1100P
chr1,160446,161525,ENSG00000241599.1,+,lincRNA,RP11-34P13.9
chr1,182393,184158,ENSG00000279928.1,+,protein_coding,FO538757.3
chr1,184923,200322,ENSG00000279457.3,-,protein_coding,FO538757.2
chr1,187891,187958,ENSG00000273874.1,-,miRNA,MIR6859-2
chr1,200880,201017,ENSG00000275135.1,+,miRNA,FO538757.1
chr1,257864,297502,ENSG00000228463.8,-,lincRNA,AP006222.2
chr1,258568,259024,ENSG00000241670.3,-,processed_pseudogene,RPL23AP21
chr1,347982,348366,ENSG00000236679.2,-,processed_pseudogene,RPL23AP24
chr1,357383,359681,ENSG00000236743.1,-,lincRNA,RP5-857K21.15
chr1,358857,365704,ENSG00000236601.1,+,lincRNA,RP4-669L17.2
chr1,365389,501617,ENSG00000237094.11,-,lincRNA,RP4-669L17.10
chr1,439870,440232,ENSG00000269732.1,+,processed_pseudogene,WBP1LP7
chr1,450740,451678,ENSG00000278566.1,-,protein_coding,OR4F29
chr1,485032,485211,ENSG00000224813.2,-,transcribed_unprocessed_pseudogene,SEPT14P13
chr1,487101,489906,ENSG00000233653.3,+,processed_pseudogene,CICP7
chr1,491225,493241,ENSG00000250575.1,-,unprocessed_pseudogene,RP4-669L17.8
chr1,516376,516479,ENSG00000278757.1,-,snRNA,U6
chr1,585989,588453,ENSG00000231709.1,-,lincRNA,RP5-857K21.1
chr1,587629,594768,ENSG00000235146.2,+,lincRNA,RP5-857K21.2
chr1,594453,597498,ENSG00000239664.2,-,lincRNA,RP5-857K21.3
chr1,601436,724707,ENSG00000230021.7,-,lincRNA,RP5-857K21.4
chr1,627377,629010,ENSG00000223659.1,-,lincRNA,RP5-857K21.5
